pkd_code,opis,szczegoly
47.79.Z,"Sprzedaż detaliczna artykułów używanych prowadzona w wyspecjalizowanych sklepach","Obejmuje antykwariaty, sklepy z odzieżą używaną, second-hand, komisy, sklepy z antykami."
47.81.Z,"Sprzedaż detaliczna żywności, napojów i wyrobów tytoniowych prowadzona na straganach i targowiskach","Obejmuje sprzedaż żywności na targowiskach, bazarach, halach targowych, straganach."
47.91.Z,"Sprzedaż detaliczna prowadzona przez domy sprzedaży wysyłkowej lub Internet","Obejmuje sprzedaż internetową, e-commerce, sklepy internetowe, sprzedaż wysyłkową, sprzedaż przez katalogi, aukcje internetowe."
47.99.Z,"Pozostała sprzedaż detaliczna prowadzona poza siecią sklepową, straganami i targowiskami","Obejmuje sprzedaż obwoźną, akwizycję, sprzedaż z automatów vendingowych, sprzedaż domokrążną."
49.10.Z,"Transport kolejowy pasażerski międzymiastowy","Obejmuje przewozy pasażerskie koleją dalekobieżną, pociągami intercity, ekspresowymi, międzymiastowymi."
49.20.Z,"Transport kolejowy towarów","Obejmuje przewóz towarów koleją, transport kontenerowy kolejowy, przewóz ładunków masowych, cystern koleją."
49.31.Z,"Transport lądowy pasażerski, miejski i podmiejski","Obejmuje komunikację miejską: autobusy, tramwaje, metro, trolejbusy. Transport pasażerski podmiejski."
49.32.Z,"Działalność taksówek osobowych","Obejmuje przewóz osób taksówkami, usługi taxi, przewozy osobowe na żądanie, Uber, Bolt."
49.39.Z,"Pozostały transport lądowy pasażerski, gdzie indziej niesklasyfikowany","Obejmuje wynajem autobusów z kierowcą, przewozy turystyczne, szkolne, pracownicze, transfer lotniskowy."
49.41.Z,"Transport drogowy towarów","Obejmuje przewóz towarów ciężarówkami, tirami, transportem drogowym. Spedycję drogową, transport chłodniczy, transport materiałów niebezpiecznych."
49.42.Z,"Działalność usługowa związana z przeprowadzkami","Obejmuje usługi przeprowadzkowe, transport mebli, pakowanie i przewóz rzeczy osobistych, przeprowadzki firm."
50.10.Z,"Transport morski i przybrzeżny pasażerski","Obejmuje przewóz pasażerów statkami, promami morskimi, rejsy wycieczkowe, cruisingiem."
50.20.Z,"Transport morski i przybrzeżny towarów","Obejmuje przewóz towarów statkami, transport kontenerowy morski, żeglugę towarową, fracht morski."
51.10.Z,"Transport lotniczy pasażerski","Obejmuje przewozy lotnicze pasażerów, linie lotnicze regularne i czarterowe, loty krajowe i międzynarodowe."
51.21.Z,"Transport lotniczy towarów","Obejmuje transport cargo lotniczy, przewóz towarów samolotami, fracht lotniczy."
52.10.Z,"Magazynowanie i przechowywanie towarów","Obejmuje magazynowanie towarów, prowadzenie magazynów, centrów logistycznych, chłodni składowych, silosów, elewatorów, składów celnych."
52.21.Z,"Działalność usługowa wspomagająca transport lądowy","Obejmuje zarządzanie drogami, parkingami, dworcami, stacjami kolejowymi. Holowanie pojazdów, pomoc drogowa."
52.24.Z,"Przeładunek towarów","Obejmuje załadunek i rozładunek towarów, kontenerów. Działalność przeładunkowa w portach, terminalach."
52.29.Z,"Pozostała działalność usługowa wspomagająca transport","Obejmuje spedycję, agencje celne, agencje żeglugowe, organizację transportu, logistykę, pośrednictwo transportowe."
53.10.Z,"Działalność pocztowa objęta obowiązkiem świadczenia usług powszechnych (operatora publicznego)","Obejmuje usługi Poczty Polskiej, wysyłanie listów, paczek, przekazów pocztowych, działalność urzędów pocztowych."
53.20.Z,"Pozostała działalność pocztowa i kurierska","Obejmuje usługi kurierskie, firmy kurierskie, dostarczanie przesyłek, paczek, listów. Skrzynki pocztowe prywatne."
55.10.Z,"Hotele i podobne obiekty zakwaterowania","Obejmuje prowadzenie hoteli, moteli, pensjonatów, aparthoteli. Usługi noclegowe z restauracją lub bez."
55.20.Z,"Obiekty noclegowe turystyczne i miejsca krótkotrwałego zakwaterowania","Obejmuje prowadzenie hosteli, schronisk, domów wycieczkowych, kwater prywatnych, apartamentów na wynajem krótkoterminowy, Airbnb."
55.30.Z,"Pola kempingowe (włączając pola dla pojazdów kempingowych) i pola namiotowe","Obejmuje prowadzenie kempingów, pól namiotowych, pól caravaningowych, glampingów."
55.90.Z,"Pozostałe zakwaterowanie","Obejmuje prowadzenie domów studenckich, internatów, burs, akademików, noclegowni, schronisk dla bezdomnych."
56.10.A,"Restauracje i inne stałe placówki gastronomiczne","Obejmuje prowadzenie restauracji, barów, bistro, pizzerii, kawiarni z obsługą kelnerską. Gastronomia stacjonarna."
56.10.B,"Ruchome placówki gastronomiczne","Obejmuje food trucki, kioski gastronomiczne, wózki z jedzeniem, ruchome punkty gastronomiczne."
56.21.Z,"Przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering)","Obejmuje catering, obsługę gastronomiczną imprez, wesel, konferencji, bankietów. Dostarczanie posiłków do biur, domów."
56.29.Z,"Pozostała usługowa działalność gastronomiczna","Obejmuje stołówki, bufety, bary mleczne, kantyny, żywienie zbiorowe w szkołach, szpitalach, zakładach pracy."
56.30.Z,"Przygotowywanie i podawanie napojów","Obejmuje prowadzenie barów, pubów, kawiarni, herbaciarni, klubów nocnych, dyskotek, winiarni, piwiarni, koktajlbarów."
58.11.Z,"Wydawanie książek","Obejmuje wydawanie książek drukowanych i elektronicznych, ebooków, audiobooków. Działalność wydawnictw książkowych."
58.13.Z,"Wydawanie gazet","Obejmuje wydawanie gazet codziennych, tygodników, prasy lokalnej, gazet internetowych."
58.14.Z,"Wydawanie czasopism i pozostałych periodyków","Obejmuje wydawanie magazynów, miesięczników, kwartalników, periodyków branżowych, naukowych, ilustrowanych."
58.19.Z,"Pozostała działalność wydawnicza","Obejmuje wydawanie katalogów, plakatów, kartek pocztowych, kalendarzy, druków reklamowych, materiałów edukacyjnych."
58.21.Z,"Działalność wydawnicza w zakresie gier komputerowych","Obejmuje wydawanie gier komputerowych, konsolowych, mobilnych, gier wideo, publikację gier online."
58.29.Z,"Działalność wydawnicza w zakresie pozostałego oprogramowania","Obejmuje wydawanie oprogramowania systemowego, użytkowego, aplikacji, programów komputerowych. Dystrybucja oprogramowania."
59.11.Z,"Działalność związana z produkcją filmów, nagrań wideo i programów telewizyjnych","Obejmuje produkcję filmów fabularnych, dokumentalnych, krótkometrażowych, reklamowych, muzycznych, teledysków. Produkcję programów telewizyjnych, seriali, reality show."
59.12.Z,"Działalność postprodukcyjna związana z filmami, nagraniami wideo i programami telewizyjnymi","Obejmuje montaż filmowy, efekty specjalne, animację, udźwiękowienie, dubbing, napisy, korekcję kolorów, mastering wideo."
59.13.Z,"Działalność związana z dystrybucją filmów, nagrań wideo i programów telewizyjnych","Obejmuje dystrybucję filmów do kin, telewizji, platform streamingowych. Sprzedaż praw do filmów, licencjonowanie treści wideo."
59.14.Z,"Działalność związana z projekcją filmów","Obejmuje prowadzenie kin, multipleksów, kin studyjnych, plenerowych, seansów filmowych."
59.20.Z,"Działalność w zakresie nagrań dźwiękowych i muzycznych","Obejmuje nagrywanie muzyki, produkcję płyt, albumów, singli. Prowadzenie studiów nagraniowych, produkcję fonograficzną, mastering audio."
60.10.Z,"Nadawanie programów radiofonicznych","Obejmuje nadawanie audycji radiowych, prowadzenie stacji radiowych, rozgłośni, radia internetowego."
60.20.Z,"Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych","Obejmuje nadawanie programów telewizyjnych, prowadzenie stacji telewizyjnych, telewizji kablowej, satelitarnej, IPTV, platform streamingowych."
61.10.Z,"Działalność w zakresie telekomunikacji przewodowej","Obejmuje świadczenie usług telekomunikacji stacjonarnej, dostępu do Internetu DSL, FTTH, telewizji kablowej, telefonii stacjonarnej."
61.20.Z,"Działalność w zakresie telekomunikacji bezprzewodowej","Obejmuje świadczenie usług telefonii komórkowej, mobilnego Internetu, LTE, 5G. Operatorzy sieci komórkowych."
61.30.Z,"Działalność w zakresie telekomunikacji satelitarnej","Obejmuje świadczenie usług telekomunikacji satelitarnej, telewizji satelitarnej, Internetu satelitarnego."
61.90.Z,"Działalność w zakresie pozostałej telekomunikacji","Obejmuje świadczenie usług VoIP, wideokonferencji, dostępu do Internetu przez WiFi, hotspoty."
62.01.Z,"Działalność związana z oprogramowaniem","Obejmuje tworzenie oprogramowania, programowanie, kodowanie, pisanie programów komputerowych, aplikacji mobilnych, webowych. Projektowanie i rozwój oprogramowania, software house. Tworzenie stron internetowych."
62.02.Z,"Działalność związana z doradztwem w zakresie informatyki","Obejmuje doradztwo IT, konsulting informatyczny, planowanie systemów informatycznych, audyty IT, doradztwo w zakresie bezpieczeństwa informatycznego, wdrażanie systemów ERP, CRM."
62.03.Z,"Działalność związana z zarządzaniem urządzeniami informatycznymi","Obejmuje zarządzanie sieciami komputerowymi, administrowanie serwerami, outsourcing IT, hosting, kolokacja, zarządzanie infrastrukturą IT, helpdesk."
62.09.Z,"Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych","Obejmuje odzyskiwanie danych, instalację oprogramowania, konfigurację komputerów, szkolenia z obsługi komputerów."
63.11.Z,"Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność","Obejmuje przetwarzanie danych, hosting stron internetowych, kolokacja serwerów, centra danych, cloud computing, usługi chmurowe, SaaS, PaaS, IaaS, streaming danych."
63.12.Z,"Działalność portali internetowych","Obejmuje prowadzenie portali internetowych, wortali, serwisów informacyjnych, portali społecznościowych, forów internetowych, blogów."
63.91.Z,"Działalność agencji informacyjnych","Obejmuje działalność agencji prasowych, dostarczanie informacji mediom, fotoreportaże, serwisy informacyjne."
63.99.Z,"Pozostała działalność usługowa w zakresie informacji, gdzie indziej niesklasyfikowana","Obejmuje usługi informacyjne telefoniczne, usługi wyszukiwania informacji, clipping medialny."
64.11.Z,"Działalność banku centralnego","Obejmuje działalność Narodowego Banku Polskiego, emisję pieniądza, politykę pieniężną, nadzór bankowy."
64.19.Z,"Pozostałe pośrednictwo pieniężne","Obejmuje działalność banków komercyjnych, przyjmowanie depozytów, udzielanie kredytów, pożyczek. Prowadzenie rachunków bankowych, operacje bankowe."
64.20.Z,"Działalność holdingów finansowych","Obejmuje zarządzanie grupą spółek zależnych, holdingami, spółkami matkami, kontrolę finansową grupy kapitałowej."
64.30.Z,"Działalność trustów, funduszów i podobnych instytucji finansowych","Obejmuje działalność funduszy inwestycyjnych, funduszy powierniczych, trustów, fundacji inwestycyjnych, TFI."
64.91.Z,"Leasing finansowy","Obejmuje leasing finansowy pojazdów, maszyn, urządzeń, nieruchomości. Umowy leasingowe z opcją wykupu."
64.92.Z,"Pozostałe formy udzielania kredytów","Obejmuje udzielanie pożyczek poza systemem bankowym, firmy pożyczkowe, lombardy, pożyczki konsumenckie, chwilówki, faktoring, kredyty hipoteczne."
64.99.Z,"Pozostała finansowa działalność usługowa, gdzie indziej niesklasyfikowana, z wyłączeniem ubezpieczeń i funduszów emerytalnych","Obejmuje działalność inwestycyjną na własny rachunek, obrót papierami wartościowymi, venture capital, fundusze private equity."
65.11.Z,"Ubezpieczenia na życie","Obejmuje ubezpieczenia na życie, na dożycie, ubezpieczenia z funduszem inwestycyjnym, polisy na życie."
65.12.Z,"Pozostałe ubezpieczenia osobowe oraz ubezpieczenia majątkowe","Obejmuje ubezpieczenia komunikacyjne OC, AC, ubezpieczenia majątkowe, od ognia, kradzieży, zdrowotne, podróżne, NNW, ubezpieczenia OC działalności, rolnicze."
65.20.Z,"Reasekuracja","Obejmuje reasekurację, ubezpieczenie zakładów ubezpieczeniowych, retrocesję."
66.11.Z,"Zarządzanie rynkami finansowymi","Obejmuje prowadzenie giełd papierów wartościowych, giełd towarowych, izb rozliczeniowych."
66.12.Z,"Działalność maklerska związana z rynkiem papierów wartościowych i towarów giełdowych","Obejmuje usługi maklerskie, obrót papierami wartościowymi, akcjami, obligacjami, instrumentami pochodnymi, pośrednictwo giełdowe."
66.19.Z,"Pozostała działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszów emerytalnych","Obejmuje doradztwo finansowe, pośrednictwo kredytowe, kantory wymiany walut, usługi płatnicze, przetwarzanie transakcji kartami."
66.22.Z,"Działalność agentów i brokerów ubezpieczeniowych","Obejmuje pośrednictwo ubezpieczeniowe, agencje ubezpieczeniowe, brokerzy ubezpieczeniowi, multiagencje."
66.30.Z,"Działalność związana z zarządzaniem funduszami","Obejmuje zarządzanie portfelami inwestycyjnymi, zarządzanie funduszami emerytalnymi, inwestycyjnymi, hedge fund."
68.10.Z,"Kupno i sprzedaż nieruchomości na własny rachunek","Obejmuje kupno i sprzedaż nieruchomości: mieszkań, domów, gruntów, lokali użytkowych. Działalność deweloperska, flipowanie nieruchomości."
68.20.Z,"Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi","Obejmuje wynajem mieszkań, lokali użytkowych, biur, magazynów, hal. Zarządzanie własnymi nieruchomościami na wynajem."
68.31.Z,"Pośrednictwo w obrocie nieruchomościami","Obejmuje pośrednictwo w kupnie, sprzedaży, wynajmie nieruchomości. Agencje nieruchomości, biura nieruchomości, agenci nieruchomości."
68.32.Z,"Zarządzanie nieruchomościami wykonywane na zlecenie","Obejmuje administrowanie nieruchomościami, zarządzanie budynkami, wspólnotami mieszkaniowymi, spółdzielniami. Usługi facility management."
69.10.Z,"Działalność prawnicza","Obejmuje usługi prawne, porady prawne, kancelarie adwokackie, radcowskie, notarialne. Reprezentacja prawna, sporządzanie aktów notarialnych, umów, opinii prawnych."
69.20.Z,"Działalność rachunkowo-księgowa; doradztwo podatkowe","Obejmuje usługi księgowe, prowadzenie ksiąg rachunkowych, biura rachunkowe, doradztwo podatkowe, rozliczenia podatkowe, audyt finansowy, rewizja sprawozdań finansowych, biegły rewident."
70.10.Z,"Działalność firm centralnych (head offices) i holdingów, z wyłączeniem holdingów finansowych","Obejmuje zarządzanie grupą spółek, planowanie strategiczne, kontrolę operacyjną grupy przedsiębiorstw."
70.21.Z,"Stosunki międzyludzkie (public relations) i komunikacja","Obejmuje usługi PR, public relations, komunikację korporacyjną, zarządzanie wizerunkiem, media relations, doradztwo wizerunkowe."
70.22.Z,"Pozostałe doradztwo w zakresie prowadzenia działalności gospodarczej i zarządzania","Obejmuje doradztwo gospodarcze, konsulting biznesowy, doradztwo strategiczne, zarządcze, operacyjne, restrukturyzacyjne. Coaching biznesowy."
71.11.Z,"Działalność w zakresie architektury","Obejmuje projektowanie architektoniczne budynków, planowanie urbanistyczne, projektowanie wnętrz, krajobrazowe. Biura architektoniczne, pracownie projektowe."
71.12.Z,"Działalność w zakresie inżynierii i związane z nią doradztwo techniczne","Obejmuje projektowanie inżynieryjne: konstrukcyjne, instalacyjne, drogowe, mostowe, środowiskowe. Doradztwo techniczne, nadzór budowlany, rzeczoznawstwo budowlane."
71.20.A,"Badania i analizy związane z jakością żywności","Obejmuje laboratoria badania żywności, kontrolę jakości żywności, analizy chemiczne, mikrobiologiczne, badania HACCP, certyfikację żywności."
71.20.B,"Pozostałe badania i analizy techniczne","Obejmuje laboratoria badawcze, analizy chemiczne, fizyczne, biologiczne, badania wytrzymałości materiałów, kalibrację, certyfikację, inspekcję techniczną."
72.11.Z,"Badania naukowe i prace rozwojowe w dziedzinie biotechnologii","Obejmuje badania biotechnologiczne, inżynierię genetyczną, badania DNA, genomikę, proteomikę, biotechnologię medyczną, rolniczą, przemysłową."
72.19.Z,"Badania naukowe i prace rozwojowe w dziedzinie pozostałych nauk przyrodniczych i technicznych","Obejmuje badania w dziedzinie fizyki, chemii, biologii, matematyki, informatyki, medycyny, farmacji, rolnictwa, inżynierii, nauk o ziemi. Prace badawczo-rozwojowe, R&D."
72.20.Z,"Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych","Obejmuje badania w dziedzinie ekonomii, socjologii, psychologii, prawa, lingwistyki, historii, filozofii, nauk politycznych."
73.11.Z,"Działalność agencji reklamowych","Obejmuje tworzenie kampanii reklamowych, projektowanie reklam, strategia marketingowa, planowanie mediów, kreacja reklamowa. Agencje reklamowe, domy mediowe."
73.12.Z,"Pośrednictwo w sprzedaży czasu i miejsca na cele reklamowe w mediach","Obejmuje sprzedaż powierzchni reklamowej w prasie, telewizji, radio, Internecie, na billboardach. Pośrednictwo reklamowe."
73.20.Z,"Badanie rynku i opinii publicznej","Obejmuje badania marketingowe, badania rynku, sondaże opinii publicznej, ankietowanie, grupy focusowe, analizy konsumenckie."
74.10.Z,"Działalność w zakresie specjalistycznego projektowania","Obejmuje projektowanie wzornictwa przemysłowego, graficzne, mody, wnętrz. Design produktów, UX/UI design, projektowanie opakowań, identyfikacja wizualna."
74.20.Z,"Działalność fotograficzna","Obejmuje fotografię portretową, reklamową, reportażową, ślubną, produktową, studyjną. Studia fotograficzne, obróbka zdjęć."
74.30.Z,"Działalność związana z tłumaczeniami","Obejmuje tłumaczenia pisemne, ustne, przysięgłe, techniczne, literackie, specjalistyczne. Biura tłumaczeń, tłumacze."
74.90.Z,"Pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana","Obejmuje doradztwo środowiskowe, doradztwo w zakresie bezpieczeństwa, ekspertyzy, rzeczoznawstwo, pośrednictwo patentowe."
75.00.Z,"Działalność weterynaryjna","Obejmuje leczenie zwierząt, kliniki weterynaryjne, gabinety weterynaryjne, szczepienia zwierząt, operacje weterynaryjne, leczenie zwierząt domowych i gospodarskich."
77.11.Z,"Wynajem i dzierżawa samochodów osobowych i furgonetek","Obejmuje wynajem krótko i długoterminowy samochodów osobowych, furgonetek. Wypożyczalnie samochodów, rent-a-car."
77.12.Z,"Wynajem i dzierżawa pozostałych pojazdów samochodowych, z wyłączeniem motocykli","Obejmuje wynajem samochodów ciężarowych, autobusów, przyczep, naczep, lawet."
77.21.Z,"Wypożyczanie i dzierżawa sprzętu rekreacyjnego i sportowego","Obejmuje wypożyczanie nart, snowboardów, rowerów, kajaków, łodzi, sprzętu campingowego, namiotów."
77.29.Z,"Wypożyczanie i dzierżawa pozostałych artykułów użytku osobistego i domowego","Obejmuje wypożyczanie odzieży, kostiumów, biżuterii, mebli, sprzętu AGD, narzędzi, książek."
77.31.Z,"Wynajem i dzierżawa maszyn i urządzeń rolniczych","Obejmuje wynajem ciągników, kombajnów, siewników, opryskiwaczy, maszyn rolniczych."
77.32.Z,"Wynajem i dzierżawa maszyn i urządzeń budowlanych","Obejmuje wynajem koparek, ładowarek, dźwigów, rusztowań, betoniarek, walców, agregatów, maszyn budowlanych."
77.33.Z,"Wynajem i dzierżawa maszyn i urządzeń biurowych, włączając komputery","Obejmuje wynajem komputerów, drukarek, kserokopiarek, projektorów, sprzętu biurowego."
77.39.Z,"Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych, gdzie indziej niesklasyfikowane","Obejmuje wynajem generatorów, silników, maszyn przemysłowych, kontenerów, palet."
77.40.Z,"Dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim","Obejmuje licencjonowanie patentów, znaków towarowych, franczyzę, dzierżawę praw do własności przemysłowej."
78.10.Z,"Działalność związana z wyszukiwaniem miejsc pracy i pozyskiwaniem pracowników","Obejmuje rekrutację pracowników, headhunting, agencje zatrudnienia, pośrednictwo pracy, doradztwo personalne, HR."
78.20.Z,"Działalność agencji pracy tymczasowej","Obejmuje udostępnianie pracowników tymczasowych, praca tymczasowa, agencje pracy tymczasowej, leasing pracowniczy."
78.30.Z,"Pozostała działalność związana z udostępnianiem pracowników","Obejmuje outsourcing kadrowy, delegowanie pracowników, body leasing, udostępnianie personelu."
79.11.A,"Działalność agentów turystycznych","Obejmuje sprzedaż wycieczek, biletów lotniczych, rezerwację hoteli, organizację podróży przez agentów turystycznych."
79.12.Z,"Działalność organizatorów turystyki","Obejmuje organizację wycieczek, pakietów turystycznych, biuro podróży, touroperator, pilotaż wycieczek."
79.90.A,"Działalność pilotów wycieczek i przewodników turystycznych","Obejmuje usługi pilotów wycieczek, przewodników turystycznych, przewodnictwo po miastach, obiektach turystycznych."
80.10.Z,"Działalność ochroniarska, z wyłączeniem działalności detektywistycznej","Obejmuje usługi ochrony osób i mienia, agencje ochrony, ochroniarze, konwojowanie wartości, patrole ochronne."
80.20.Z,"Działalność ochroniarska w zakresie obsługi systemów bezpieczeństwa","Obejmuje instalację i monitorowanie alarmów, systemów CCTV, monitoringu wizyjnego, systemów przeciwwłamaniowych, kontroli dostępu."
80.30.Z,"Działalność detektywistyczna","Obejmuje usługi detektywistyczne, biura detektywistyczne, wywiad gospodarczy, prywatni detektywi."
81.10.Z,"Działalność pomocnicza związana z utrzymaniem porządku w budynkach","Obejmuje zarządzanie budynkami, usługi konsjerża, dozorcy, portiera, utrzymanie porządku w budynkach."
81.21.Z,"Niespecjalistyczne sprzątanie budynków i obiektów przemysłowych","Obejmuje sprzątanie biur, szkół, szpitali, fabryk, hal. Firmy sprzątające, usługi porządkowe, mycie podłóg, odkurzanie."
81.22.Z,"Specjalistyczne sprzątanie budynków i obiektów przemysłowych","Obejmuje mycie okien, czyszczenie elewacji, pranie dywanów, czyszczenie przemysłowe, dezynfekcję, dezynsekcję, deratyzację, fumigację."
81.29.Z,"Pozostałe sprzątanie","Obejmuje sprzątanie pojazdów: autobusów, pociągów, samolotów. Odśnieżanie dróg, parkingów, zamiatanie ulic."
81.30.Z,"Działalność usługowa związana z zagospodarowaniem terenów zieleni","Obejmuje projektowanie i urządzanie ogrodów, parków, terenów zielonych. Koszenie trawników, przycinanie żywopłotów, sadzenie roślin, pielęgnację zieleni, usługi ogrodnicze."
82.11.Z,"Działalność usługowa związana z administracyjną obsługą biura","Obejmuje usługi administracyjne, obsługę biurową, sekretariat, wirtualne biuro, rejestrację korespondencji."
82.19.Z,"Wykonywanie fotokopii, przygotowywanie dokumentów i pozostała specjalistyczna działalność wspomagająca prowadzenie biura","Obejmuje kserowanie, drukowanie, bindowanie, laminowanie dokumentów. Punkty ksero, przepisywanie tekstów."
82.20.Z,"Działalność centrów telefonicznych (call center)","Obejmuje prowadzenie call center, contact center, obsługę telefoniczną klientów, telemarketing, ankietowanie telefoniczne."
82.30.Z,"Działalność związana z organizacją targów, wystaw i kongresów","Obejmuje organizację targów handlowych, wystaw, konferencji, kongresów, eventów, imprez firmowych, seminariów."
82.91.Z,"Działalność świadczona przez agencje inkasa i biura kredytowe","Obejmuje windykację należności, odzyskiwanie długów, agencje inkasa, biura informacji kredytowej, BIK."
82.92.Z,"Działalność związana z pakowaniem","Obejmuje pakowanie towarów na zlecenie, konfekcjonowanie, etykietowanie, foliowanie, pakowanie prezentów."
82.99.Z,"Pozostała działalność wspomagająca prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowana","Obejmuje usługi stenograficzne, zbieranie monet z parkometrów, działalność agencji komercyjnych, usługi wspomagające biznes."
85.10.Z,"Wychowanie przedszkolne","Obejmuje prowadzenie przedszkoli, żłobków, klubów dziecięcych, punktów przedszkolnych, opieki nad dziećmi w wieku przedszkolnym."
85.20.Z,"Szkoły podstawowe","Obejmuje prowadzenie szkół podstawowych, edukację na poziomie podstawowym, nauczanie dzieci klas 1-8."
85.42.B,"Szkoły wyższe","Obejmuje prowadzenie uczelni wyższych, uniwersytetów, politechnik, akademii, studiów licencjackich, magisterskich, doktoranckich."
85.51.Z,"Pozaszkolne formy edukacji sportowej oraz zajęć sportowych i rekreacyjnych","Obejmuje szkoły sportowe, kursy pływania, tenisa, jazdy konnej, tańca, jogi, gimnastyki. Instruktorzy sportowi."
85.52.Z,"Pozaszkolne formy edukacji artystycznej","Obejmuje szkoły muzyczne, plastyczne, aktorskie, kursy malarstwa, rysunku, rzeźby, gry na instrumentach, śpiewu."
85.53.Z,"Pozaszkolne formy edukacji z zakresu nauki jazdy i pilotażu","Obejmuje szkoły jazdy, kursy prawa jazdy, szkoły pilotażu, kursy lotnicze, kursy żeglarskie, motorowodne."
85.59.A,"Nauka języków obcych","Obejmuje szkoły językowe, kursy języka angielskiego, niemieckiego, francuskiego, hiszpańskiego, korepetycje językowe."
85.59.B,"Pozostałe pozaszkolne formy edukacji, gdzie indziej niesklasyfikowane","Obejmuje kursy komputerowe, szkolenia zawodowe, kursy pierwszej pomocy, szkolenia BHP, korepetycje, e-learning, kursy online."
85.60.Z,"Działalność wspomagająca edukację","Obejmuje doradztwo edukacyjne, poradnie psychologiczno-pedagogiczne, egzaminy, komisje egzaminacyjne."
86.10.Z,"Działalność szpitali","Obejmuje prowadzenie szpitali ogólnych, specjalistycznych, klinik, oddziałów szpitalnych, leczenie szpitalne, hospitalizację, chirurgię, ortopedię."
86.21.Z,"Praktyka lekarska ogólna","Obejmuje działalność lekarzy pierwszego kontaktu, lekarzy rodzinnych, medycyny ogólnej, POZ, przychodnie, gabinety lekarskie."
86.22.Z,"Praktyka lekarska specjalistyczna","Obejmuje działalność lekarzy specjalistów: kardiologów, dermatologów, neurologów, okulistów, laryngologów, ginekologów, urologów, psychiatrów, ortopedów, chirurgów."
86.23.Z,"Praktyka lekarska dentystyczna","Obejmuje gabinety stomatologiczne, dentyści, ortodonci, chirurgia stomatologiczna, protetyka, leczenie kanałowe, wybielanie zębów, implanty."
86.90.A,"Działalność fizjoterapeutyczna","Obejmuje fizjoterapię, rehabilitację, masaże lecznicze, kinezyterapię, fizykoterapię, ćwiczenia rehabilitacyjne, terapię manualną."
86.90.C,"Praktyka pielęgniarek i położnych","Obejmuje usługi pielęgniarskie, opieka pielęgniarska domowa, gabinety pielęgniarskie, praktyka położnych, opieka nad matką i dzieckiem."
86.90.D,"Działalność paramedyczna","Obejmuje usługi ratowników medycznych, diagnostykę laboratoryjną, działalność laboratoriów medycznych, badania krwi, analitykę medyczną."
86.90.E,"Pozostała działalność w zakresie opieki zdrowotnej, gdzie indziej niesklasyfikowana","Obejmuje terapię zajęciową, logopedię, psychoterapię, dietetykę, akupunkturę, homeopatię, naturopatię, podologię, optometrię."
87.10.Z,"Pomoc społeczna z zakwaterowaniem zapewniająca opiekę pielęgniarską","Obejmuje domy opieki, domy pomocy społecznej z opieką pielęgniarską, zakłady opiekuńczo-lecznicze, hospicja."
87.20.Z,"Pomoc społeczna z zakwaterowaniem dla osób z zaburzeniami psychicznymi, uzależnionych od alkoholu i od substancji odurzających","Obejmuje ośrodki leczenia uzależnień, centra terapii, domy dla osób z zaburzeniami psychicznymi, odwykowe."
87.30.Z,"Pomoc społeczna z zakwaterowaniem dla osób w podeszłym wieku i osób niepełnosprawnych","Obejmuje domy spokojnej starości, domy seniora, domy opieki dla starszych, rezydencje senioralne, domy dla niepełnosprawnych."
87.90.Z,"Pozostała pomoc społeczna z zakwaterowaniem","Obejmuje schroniska dla bezdomnych, domy samotnej matki, ośrodki wychowawcze, pogotowia opiekuńcze."
88.10.Z,"Pomoc społeczna bez zakwaterowania dla osób w podeszłym wieku i osób niepełnosprawnych","Obejmuje dzienne domy opieki, kluby seniora, ośrodki wsparcia, pomoc w domu dla osób starszych i niepełnosprawnych."
88.91.Z,"Opieka dzienna nad dziećmi","Obejmuje żłobki, opiekunki do dzieci, opieka dzienna, świetlice dla dzieci, kluby malucha, nianie."
88.99.Z,"Pozostała pomoc społeczna bez zakwaterowania, gdzie indziej niesklasyfikowana","Obejmuje poradnie rodzinne, ośrodki pomocy społecznej, centra integracji, telefony zaufania, pomoc humanitarna."
90.01.Z,"Działalność związana z wystawianiem przedstawień artystycznych","Obejmuje spektakle teatralne, koncerty, występy muzyczne, operę, balet, kabaret, cyrk, przedstawienia artystyczne."
90.02.Z,"Działalność wspomagająca wystawianie przedstawień artystycznych","Obejmuje reżyserię, scenografię, charakteryzację, oświetlenie sceny, nagłośnienie, działalność techniczną na potrzeby wydarzeń artystycznych."
90.03.Z,"Artystyczna i literacka działalność twórcza","Obejmuje działalność artystów, malarzy, rzeźbiarzy, grafików, pisarzy, poetów, kompozytorów, muzyków, aktorów, tancerzy."
